user_id,product_id,rating
1,1,5
1,2,4
1,3,3
1,5,5
1,10,4
2,1,4
2,4,5
2,6,3
2,8,4
2,15,5
3,2,5
3,3,4
3,7,3
3,9,5
3,12,4
4,1,3
4,5,4
4,10,5
4,20,4
4,25,3
5,6,5
5,8,4
5,11,3
5,14,5
5,18,4
6,2,4
6,3,5
6,7,4
6,16,5
6,21,3
7,5,4
7,9,5
7,13,3
7,17,4
7,22,5
8,4,5
8,6,4
8,12,3
8,19,5
8,24,4
9,1,5
9,3,4
9,7,3
9,26,5
9,30,4
10,2,4
10,5,5
10,8,3
10,28,4
10,35,5
11,3,5
11,6,4
11,10,3
11,15,5
11,18,4
12,7,4
12,9,5
12,11,3
12,20,4
12,23,5
13,1,4
13,2,5
13,4,3
13,14,4
13,27,5
14,6,5
14,8,4
14,13,3
14,16,5
14,29,4
15,5,4
15,9,5
15,12,3
15,21,4
15,32,5
